"Date","Price","Open","High","Low","Change %"
"04/27/2018","16.719","16.719","16.719","16.719","0.06%"
"04/26/2018","16.709","16.709","16.709","16.709","0.30%"
"04/25/2018","16.659","16.659","16.659","16.659","0.06%"
"04/24/2018","16.649","16.649","16.649","16.649","0.06%"
"04/23/2018","16.639","16.639","16.639","16.639","0.05%"
"04/21/2018","16.630","16.630","16.630","16.630","0.00%"
"04/20/2018","16.630","16.630","16.630","16.630","0.06%"
"04/19/2018","16.620","16.620","16.620","16.620","0.18%"
"04/18/2018","16.590","16.590","16.590","16.590","0.05%"
"04/17/2018","16.581","15.304","16.581","15.304","0.06%"
"04/16/2018","16.571","16.571","16.571","16.571","0.06%"
"04/14/2018","16.561","16.561","16.561","16.561","0.00%"
"04/13/2018","16.561","16.561","16.561","16.561","0.06%"
"04/12/2018","16.551","16.551","16.551","16.551","0.19%"
"04/11/2018","16.519","16.519","16.519","16.519","0.06%"
"04/10/2018","16.509","16.509","16.509","16.509","0.07%"
"04/09/2018","16.498","16.498","16.498","16.498","0.06%"
"04/07/2018","16.488","16.488","16.488","16.488","0.00%"
"04/06/2018","16.488","16.488","16.488","16.488","0.07%"
"04/05/2018","16.477","16.477","16.477","16.477","-2.57%"
"04/04/2018","16.912","16.912","16.912","16.912","0.07%"
"04/03/2018","16.901","16.901","16.901","16.901","0.07%"
"03/29/2018","16.890","16.890","16.890","16.890","0.00%"
"03/28/2018","16.890","16.890","16.890","16.890","0.06%"
"03/27/2018","16.880","16.880","16.880","16.880","1.73%"
"03/26/2018","16.593","16.593","16.593","16.593","0.06%"
"03/24/2018","16.583","16.583","16.583","16.583","0.00%"
"03/23/2018","16.583","16.583","16.583","16.583","0.07%"
"03/22/2018","16.572","16.572","16.572","16.572","0.19%"
"03/21/2018","16.541","16.541","16.541","16.541","2.89%"
"03/20/2018","16.077","16.077","16.077","16.077","5.76%"
"03/19/2018","15.201","15.201","15.201","15.201","0.06%"
"03/17/2018","15.192","15.192","15.192","15.192","0.00%"
"03/16/2018","15.192","15.192","15.192","15.192","0.06%"
"03/15/2018","15.183","15.183","15.183","15.183","0.18%"
"03/14/2018","15.155","15.155","15.155","15.155","0.06%"
"03/13/2018","15.146","15.146","15.146","15.146","0.06%"
"03/12/2018","15.137","15.137","15.137","15.137","0.06%"
"03/10/2018","15.128","15.128","15.128","15.128","0.00%"
"03/09/2018","15.128","15.128","15.128","15.128","0.06%"
"03/08/2018","15.119","15.119","15.119","15.119","0.19%"
"03/07/2018","15.091","15.091","15.091","15.091","0.06%"
"03/06/2018","15.082","15.082","15.082","15.082","0.06%"
"03/05/2018","15.073","15.073","15.073","15.073","0.06%"
"03/03/2018","15.064","15.064","15.064","15.064","0.00%"
"03/02/2018","15.064","15.064","15.064","15.064","0.06%"
"03/01/2018","15.055","15.055","15.055","15.055","0.24%"
"02/28/2018","15.019","15.019","15.019","15.019","0.00%"
"02/27/2018","15.019","15.019","15.019","15.019","0.06%"
"02/26/2018","15.010","15.010","15.010","15.010","0.18%"
"02/24/2018","14.983","14.983","14.983","14.983","0.00%"
"02/23/2018","14.983","14.983","14.983","14.983","0.06%"
"02/22/2018","14.974","14.974","14.974","14.974","0.17%"
"02/21/2018","14.948","14.948","14.948","14.948","0.06%"
"02/20/2018","14.939","14.939","14.939","14.939","0.06%"
"02/19/2018","14.930","14.930","14.930","14.930","0.06%"
"02/18/2018","14.921","14.921","14.921","14.921","0.00%"
"02/17/2018","14.921","14.921","14.921","14.921","0.00%"
"02/16/2018","14.921","14.921","14.921","14.921","-1.65%"
"02/15/2018","15.172","15.172","15.172","15.172","0.18%"
"02/14/2018","15.145","15.145","15.145","15.145","0.07%"
"02/12/2018","15.135","15.135","15.135","15.135","0.00%"
"02/10/2018","15.135","15.135","15.135","15.135","0.00%"
"02/09/2018","15.135","15.135","15.135","15.135","0.05%"
"02/08/2018","15.127","15.127","15.127","15.127","-0.72%"
"02/07/2018","15.237","15.237","15.237","15.237","0.12%"
"02/06/2018","15.219","15.219","15.219","15.219","0.00%"
"02/05/2018","15.219","15.219","15.219","15.219","0.06%"
"02/03/2018","15.210","15.210","15.210","15.210","0.00%"
"02/02/2018","15.210","15.210","15.210","15.210","0.06%"
